id,code,name,defaultPackSize,batches,department,description,category,defaultPrice,isVisible,crossReferenceItem
F5F418DA38719D4C824552FAF8B0ED6A,NSI,"Non stock items",1,<ItemBatch>{},<null>,,<null>,0,false,<null>
9D15F5D7430A314DBE386DF47B03FA3A,service,"Service charges",1,<ItemBatch>{},<null>,,<null>,0,false,<null>
81B65A4CFB966C418A355EC92145B223,CWATLLIN2,"MOSQUITO NET, LLIN, 190x180x150cm, denier 100, white, (WHOPES)",1,<ItemBatch>{1 6},<null>,,<null>,0,true,<null>
4C34040530C2C147B052DE8E313B8298,DBACATET25,"IMMUNOGLOBULIN, HUMAN, ANTITETANUS, 250 IU/ml, syr.",1,<ItemBatch>{},<null>,,<null>,0,false,<null>
C53E9A7E14C1154D92106512D68832B9,DDGTDENG3T,"DENGUE NS1/IgM/IgG TEST (Dengue Duo), ser/pl, 1 test",1,<ItemBatch>{},<null>,,<null>,0,false,<null>
389C4FCF010497489FE48B324904B83E,DDGTPREG1S,"TEST, PREGNANCY (RST/hCG), 1 strip",1,<ItemBatch>{17 32 131 200 258 259 319 341 360 387},<null>,,<null>,0,true,<null>
333B6D98BFF90C43A954C02AE49C33BA,DDGTSPEP103,"Triglycerides Liquicolor,4x100ml 10724",1,<ItemBatch>{},<null>,,<null>,0,false,<null>
083731D9330D4945AE6B654E82C4F947,DDGTSPEP104,"Cholesterol Liquicolor, 4x100ml 10028",1,<ItemBatch>{},<null>,,<null>,0,false,<null>
87CEC871FA3ECA478FB8A3DCD93DA40E,DDGTSPEP105,"HDL Cholesterol, 4x100ml 10018",1,<ItemBatch>{},<null>,,<null>,0,false,<null>
76CDE36E49C3BD439C0C0D0E2C336AF3,DDGTSPEPALT,"ALAT, IFCC mod LiquiUV, 12022",1,<ItemBatch>{},<null>,,<null>,0,false,<null>
EF07FA42F79C644C9070C5820B2AA3DB,DDGTSPEPCRE,"Auto-Creatinine Liquicolor, Ref-10052",1,<ItemBatch>{},<null>,,<null>,0,false,<null>
839E9F7A7CDE204683839338D8C7B369,DDGTURIS1M,"TEST, URINE, pH,dens,prot,gluc,ket,blood,nit,leuc, 1 strip",1,<ItemBatch>{},<null>,,<null>,0,false,<null>
82253A98F4AF0241BE321423038B1535,DDGTZMM0001,"TEST, MALARIA, P.F/P.V, SD bioline (25 tests/kit), test",1,<ItemBatch>{85 199 256 257 283 290 291 323 337 354 367 401},<null>,,<null>,0,true,<null>
7386210BED3F5A49BA879E90A1A1DE25,DDGTZNL0115,"TEST, HIV 1 + 2, rapid, (Stat-Pak), 30 tests, kit",1,<ItemBatch>{},<ItemDepartment>{0},,<null>,0,false,<null>
02F4A9EDEE8F424784DADBA12A339F81,DDGTZNL0116,"TEST, HEPATITIS B (SD Bioline), ser/pl/wb, 30 tests, kit",1,<ItemBatch>{},<null>,,<null>,0,false,<null>
E9FB2F3548F2C84799AB0787F11A5016,DDGTZNL0118,"TEST, HIV 1 + 2 (Determine) ser/pl/wb, rapid, 100 tests, kit",1,<ItemBatch>{},<null>,,<null>,0,false,<null>
DDFCDC41C7020244A8A5059B00F13DA6,DDGTZNL0120,"TEST, HIV 1 + 2 (Uni-Gold), ser/pl/wb, rapid, 20 tests, kit",1,<ItemBatch>{},<null>,,<null>,0,false,<null>
F673E8DECC695446A9EA7021A9573F75,DDGTZNL0123,"TEST SYPHILIS, RPR, (carbon test), serum/pl., 100 tests, kit",1,<ItemBatch>{},<null>,,<null>,0,false,<null>
254DA955F40EB54D98E45CB5D50E0AFD,DDGTZNL0168,"TEST,CRYPTOCOCCUS(Crypto-AG-LFA),50tests,kit",1,<ItemBatch>{},<null>,,<null>,0,false,<null>
A1522ED09025E948BC313EE244DFE44D,DDGTZNL0171,"TEST, HEPATITIS C (SD Bioline), 30 tests, kit",1,<ItemBatch>{},<null>,,<null>,0,false,<null>
49EA20A91484FC4CAEAC748AF4FE0701,DDGTZTB1T,"TEST, TB LAM Ag (Determine), 1 test",1,<ItemBatch>{},<null>,,<null>,0,false,<null>
0AAA92A677569D499F2A87C5D563ED2F,DDISNADC1T,"CHLORINE, 1g (NaDCC/dichloroisocyan.sodium 1.67 g), tab",1,<ItemBatch>{},<null>,,<null>,0,true,<null>
AADDD9267BFDAF4D8B9AAAA042FF3C68,DDISZMM0001,"METHYLATED spirit, external use, 500ml, bottle",1,<ItemBatch>{33 109 116 155 192 209 241 264 265 335 388},<null>,,<null>,0,true,<null>
F761DABBD1F42144A6723519C897DDC9,DEXOCHLO5D0,"CHLORAMPHENICOL, 0.5%, eye drops, sterile, 10 ml, bot.",1,<ItemBatch>{},<null>,,<null>,0,true,<null>
8BFAC148B993F84D9D1D32CED68D79DE,DEXOOXYB1,"OXYBUPROCAINE, 0.4 %, eye drops, ster, 0.5 ml, unidose, amp. ",1,<ItemBatch>{},<null>,,<null>,0,false,<null>
1FA657EEED0AB04AAF1AE1418C61CEB9,DEXOTETR1O4,"TETRACYCLINE hydrochloride, 1%, eye ointment, ster, 5g, tube",1,<ItemBatch>{407},<null>,,<null>,0,true,<null>
9E3CE1D5A95B734EACAF8F630AF6E33A,DEXOTROP5D3,"TROPICAMIDE 1% EYE DROPS 0.5 ML, UNIDOSE",1,<ItemBatch>{},<null>,,<null>,0,false,<null>
98966A7CDA6CCC48B8AF4418E6766B92,DEXTBENS6O3,"BENZOIC ACID 6% / SALICYLIC ACID 3%, ointment, 40 g, tube",1,<ItemBatch>{},<null>,,<null>,0,false,<null>
2EE132A7A6899C469CB69BBF3E49F049,DEXTBENZ2L0,"BENZYL BENZOATE, 25%, lotion, 1 l, bot.",1,<ItemBatch>{12 125 178 324 338 355 365},<null>,,<null>,0,true,<null>
33CFF5676B110843801214297B7C1A32,DEXTCALA1L4,"CALAMINE, 15%, lotion, 60 ml, bot.",1,<ItemBatch>{7 105 171},<null>,,<null>,0,true,<null>
F183A021D83CB94984FCA30AF685D2C7,DEXTCLOT5T,"CLOTRIMAZOLE, 500 mg, vaginal tab. + applicator",1,<ItemBatch>{},<null>,,<null>,0,false,<null>
838C7364F8A939449A26805ED4018533,DEXTHYDR1O0,"HYDROCORTISONE acetate, 1%, ointment, 15 g, tube",1,<ItemBatch>{},<null>,,<null>,0,false,<null>
B758D0C53874E449B1F437064F140042,DEXTIODP1S1,"POLYVIDONE IODINE, 10%, solution, 200 ml, dropper bot.",1,<ItemBatch>{193 194 247 320 321 336},<null>,,<null>,0,true,<null>
CCA93D36ADFABE469A2C0BDFF462680B,DEXTMICO2C2,"MICONAZOL nitrate, 2%, cream, 30 g, tube",1,<ItemBatch>{34 153 211 242 325 339 348 356 366 371 390 417},<null>,,<null>,0,true,<null>
D4B73EDF01EFDE42B91C71025E8FDCA6,DEXTPERM1L0,"PERMETHRIN, 1 %, lotion, bot.",1,<ItemBatch>{},<null>,,<null>,0,false,<null>
C99074AD99438A4794C1398AAF589BE1,DEXTPODO5S2,"PODOPHYLLOTOXIN, 0.5%, solution, 3.5ml, + 30 applicator tips",1,<ItemBatch>{},<null>,,<null>,0,false,<null>
EEDFFE81A65EC54AA656D3F43C006E6A,DEXTSULZ1C4,"SULFADIAZINE SILVER, 1%, cream, 50 g, tube",1,<ItemBatch>{0},<null>,,<null>,0,true,<null>
8606522C503B04459EA86F93F0FE300D,DEXTZMM0001,"LUBRICATING JELLY, 35 gr., tube",1,<ItemBatch>{},<null>,,<null>,0,false,<null>
298F1E271DF2E44B9A75DE4EEC21B5F0,DEXTZNL0018,"PARACETAMOL, 250mg, suppositories",1,<ItemBatch>{},<null>,,<null>,0,false,<null>
2F8BCD1E08E3624A8B1C5B42810B23DC,DEXTZNL0019,"PARACETAMOL, 500mg, suppositories",1,<ItemBatch>{},<null>,,<null>,0,false,<null>
636CC95E79A87840AB7C6199C0D2BC27,DEXTZNL0209,"PARACETAMOL, 120mg, suppositories",1,<ItemBatch>{},<null>,,<null>,0,false,<null>
