id,itemId,itemName,itemBatch,batch,expiryDate,packSize,numberOfPacks,numberOfPacksSent,transaction,note,costPrice,sellPrice,sortIndex
6a907870e14711e7a5872fa61e46d180,33CFF5676B110843801214297B7C1A32,"CALAMINE, 15%, lotion, 60 ml, bot.",<ItemBatch>{171},,<null>,1,41,41,<Transaction>{14},,0,0,3
e4e68650e14711e7a5872fa61e46d180,36D0A654E68BA44BB60CD269114534DB,"HYDROCORTISONE sodium succinate, eq.100mg base, powder, vial",<ItemBatch>{191},,"2018-02-28 00:00:00 +0000",1,10,10,<Transaction>{14},,0,0,6
230255e0e14811e7a5872fa61e46d180,81B65A4CFB966C418A355EC92145B223,"MOSQUITO NET, LLIN, 190x180x150cm, denier 100, white, (WHOPES)",<ItemBatch>{1},,<null>,1,6864,6864,<Transaction>{14},,0,0,5
92de8140e14811e7a5872fa61e46d180,28D1A7154505B3419EE96EF7D75E7175,"ARTEMETHER 20mg / LUMEFANTRINE 120mg, blister child 12 tab.",<ItemBatch>{119},,"2018-10-31 00:00:00 +0000",1,1,1,<Transaction>{14},,0,0,10
657a1010e14911e7a5872fa61e46d180,60B7B1A0AD44BB4FB93042E6750EB12A,"AMOXICILLIN, 250 mg, tab.",<ItemBatch>{300},,"2019-07-31 00:00:00 +0000",1,12000,12000,<Transaction>{14},,0,0,12
853e14f0e14911e7a5872fa61e46d180,6D4A7635C23ACB4E9C8420CC478F3158,"ASCORBIC acid (vitamin C), 250 mg, tab.",<ItemBatch>{301},,"2018-06-30 00:00:00 +0000",1,100,100,<Transaction>{14},,0,0,13
ddd73420e14911e7a5872fa61e46d180,25B06E70357D4B4EB02F7B2AAA5F3D75,"CHLORPHENAMINE hydrogen maleate, 4 mg, tab.",<ItemBatch>{302},,"2019-09-30 00:00:00 +0000",1,6400,6400,<Transaction>{14},,0,0,16
a84bb170e14711e7a5872fa61e46d180,FF6E39A8B814F743A923218614BFC2DC,"DICLOFENAC sodium, 25 mg/ml, 3 ml, amp.",<ItemBatch>{184},,"2018-04-30 00:00:00 +0000",1,20,20,<Transaction>{14},,0,0,5
f13a1ff0e14911e7a5872fa61e46d180,8517022E30703D4AADC2B8D5F86BE82E,"CHLOROQUINE, 155 mg base, (250 mg phosphate), tab.",<ItemBatch>{169},,"2019-11-30 00:00:00 +0000",1,3820,3820,<Transaction>{14},,0,0,17
419b0f40e14a11e7a5872fa61e46d180,0B9B6A41369F3A449E69FDCE68B25F9E,"ETHINYLESTR. 0.03 mg / LEVONORGESTREL 0.15 mg, plaq. 28 tab.",<ItemBatch>{303},,"2019-08-31 00:00:00 +0000",1,25,25,<Transaction>{14},,0,0,20
227be070e14b11e7a5872fa61e46d180,A98455BE6A82BF4FBC13539C6B90C710,"TINIDAZOLE, 500 mg, tab.",<ItemBatch>{304},,"2018-09-30 00:00:00 +0000",1,100,100,<Transaction>{14},,0,0,34
353b1230e14b11e7a5872fa61e46d180,3DD73484BB578D498761EEA97349B12F,"PRIMAQUINE diphosphate, eq. 7.5 mg base, tab.",<ItemBatch>{305},,"2018-07-31 00:00:00 +0000",1,1000,1000,<Transaction>{14},,0,0,35
40e5faa0e14b11e7a5872fa61e46d180,EF006B05A6917E4386A4FF156B054FC0,"BRACELET, BRACHIAL PERIMETER (MUAC), paediatric, PP, 115 mm",<ItemBatch>{306},,<null>,1,37,37,<Transaction>{14},,0,0,36
61000ec0e14b11e7a5872fa61e46d180,C4B933C945AB7540A5FE9674982EC277,"MASK, SURGICAL, type II, s.u.",<ItemBatch>{160},,<null>,1,1500,1500,<Transaction>{14},,0,0,37
70bc60c0e14b11e7a5872fa61e46d180,9D17D08D8C75364A8072C0A229D27CDF,"SPHYGMOMANOMETER, one-hand manometer, Velcro, adult",<ItemBatch>{139},,<null>,1,2,2,<Transaction>{14},,0,0,38
7b172280e14b11e7a5872fa61e46d180,5F976B4EA860FE499F516EDD98E43510,"SPHYGMOMANOMETER, one-hand manometer, Velcro, pediatric",<ItemBatch>{3},,<null>,1,5,5,<Transaction>{14},,0,0,39
8ddc20a0e14b11e7a5872fa61e46d180,18BF0CBCB2EBB04EBA341901BBE364C1,"STETHOSCOPE, one cup, nurse",<ItemBatch>{137},,<null>,1,4,4,<Transaction>{14},,0,0,40
988ca380e14b11e7a5872fa61e46d180,4E7FF9BB7E2D184E9B5F46F3FE88008F,"TIMER, 60 mn",<ItemBatch>{201},,<null>,1,32,32,<Transaction>{14},,0,0,41
ad1b1700e14b11e7a5872fa61e46d180,2F1ADAB6E2453947A84C49B5C3CAA5DE,"COTTON WOOL, hydrophilic, roll, 500 g",<ItemBatch>{168},,<null>,1,398,398,<Transaction>{14},,0,0,43
bd358e90e14b11e7a5872fa61e46d180,598EE18F3EB7CC4DA9346DBB2AA3C8B2,"Bandage, hydrophylic, w.o.w., 5 cm x 10 m, roll",<ItemBatch>{307},,<null>,1,490,490,<Transaction>{14},,0,0,44
