id,item,transaction,batches
389830800f0211e9bbbead055da188b2,<Item>{29},<Transaction>{14},<TransactionBatch>{0}
3898f3d00f0211e9bbbead055da188b2,<Item>{55},<Transaction>{14},<TransactionBatch>{1}
3899b7200f0211e9bbbead055da188b2,<Item>{2},<Transaction>{14},<TransactionBatch>{2}
389a53600f0211e9bbbead055da188b2,<Item>{77},<Transaction>{14},<TransactionBatch>{3}
389aefa00f0211e9bbbead055da188b2,<Item>{390},<Transaction>{14},<TransactionBatch>{4}
389b8be00f0211e9bbbead055da188b2,<Item>{85},<Transaction>{14},<TransactionBatch>{5}
389c4f300f0211e9bbbead055da188b2,<Item>{92},<Transaction>{14},<TransactionBatch>{6}
389ceb700f0211e9bbbead055da188b2,<Item>{50},<Transaction>{14},<TransactionBatch>{7}
389daec00f0211e9bbbead055da188b2,<Item>{93},<Transaction>{14},<TransactionBatch>{8}
389e4b000f0211e9bbbead055da188b2,<Item>{107},<Transaction>{14},<TransactionBatch>{9}
389f35600f0211e9bbbead055da188b2,<Item>{169},<Transaction>{14},<TransactionBatch>{10}
38a01fc00f0211e9bbbead055da188b2,<Item>{182},<Transaction>{14},<TransactionBatch>{11}
38a10a200f0211e9bbbead055da188b2,<Item>{196},<Transaction>{14},<TransactionBatch>{12}
38a21b900f0211e9bbbead055da188b2,<Item>{250},<Transaction>{14},<TransactionBatch>{13}
38a305f00f0211e9bbbead055da188b2,<Item>{257},<Transaction>{14},<TransactionBatch>{14}
38a3f0500f0211e9bbbead055da188b2,<Item>{258},<Transaction>{14},<TransactionBatch>{15}
38a4dab00f0211e9bbbead055da188b2,<Item>{259},<Transaction>{14},<TransactionBatch>{16}
38a59e000f0211e9bbbead055da188b2,<Item>{265},<Transaction>{14},<TransactionBatch>{17}
38a6af700f0211e9bbbead055da188b2,<Item>{294},<Transaction>{14},<TransactionBatch>{18}
38a7c0e00f0211e9bbbead055da188b2,<Item>{297},<Transaction>{14},<TransactionBatch>{19}
38a8ab400f0211e9bbbead055da188b2,<Item>{298},<Transaction>{14},<TransactionBatch>{20}
38a9e3c00f0211e9bbbead055da188b2,<Item>{308},<Transaction>{14},<TransactionBatch>{21}
38ab1c400f0211e9bbbead055da188b2,<Item>{351},<Transaction>{14},<TransactionBatch>{22}
38aca2e00f0211e9bbbead055da188b2,<Item>{353},<Transaction>{14},<TransactionBatch>{23}
38ae02700f0211e9bbbead055da188b2,<Item>{76},<Transaction>{14},<TransactionBatch>{24}
38af62000f0211e9bbbead055da188b2,<Item>{78},<Transaction>{14},<TransactionBatch>{25}
38b136c00f0211e9bbbead055da188b2,<Item>{91},<Transaction>{14},<TransactionBatch>{26 27}
38b359a00f0211e9bbbead055da188b2,<Item>{68},<Transaction>{14},<TransactionBatch>{28}
38b4b9300f0211e9bbbead055da188b2,<Item>{95},<Transaction>{14},<TransactionBatch>{29}
38b618c00f0211e9bbbead055da188b2,<Item>{101},<Transaction>{14},<TransactionBatch>{30}
38b79f600f0211e9bbbead055da188b2,<Item>{111},<Transaction>{14},<TransactionBatch>{31}
38b926000f0211e9bbbead055da188b2,<Item>{342},<Transaction>{14},<TransactionBatch>{32}
38ba85900f0211e9bbbead055da188b2,<Item>{343},<Transaction>{14},<TransactionBatch>{33 34}
38bcf6900f0211e9bbbead055da188b2,<Item>{344},<Transaction>{14},<TransactionBatch>{35}
38be7d300f0211e9bbbead055da188b2,<Item>{56},<Transaction>{14},<TransactionBatch>{36}
38c051f00f0211e9bbbead055da188b2,<Item>{115},<Transaction>{14},<TransactionBatch>{37}
38c1d8900f0211e9bbbead055da188b2,<Item>{58},<Transaction>{14},<TransactionBatch>{38}
38c35f300f0211e9bbbead055da188b2,<Item>{130},<Transaction>{14},<TransactionBatch>{39 40}
38c66c700f0211e9bbbead055da188b2,<Item>{133},<Transaction>{14},<TransactionBatch>{41 42}
38ca15f00f0211e9bbbead055da188b2,<Item>{138},<Transaction>{14},<TransactionBatch>{43}
38cbc3a00f0211e9bbbead055da188b2,<Item>{139},<Transaction>{14},<TransactionBatch>{44}
38cd98600f0211e9bbbead055da188b2,<Item>{142},<Transaction>{14},<TransactionBatch>{45 46 47}
38d2a1700f0211e9bbbead055da188b2,<Item>{148},<Transaction>{14},<TransactionBatch>{48 49}
38d5fcd00f0211e9bbbead055da188b2,<Item>{276},<Transaction>{14},<TransactionBatch>{50}
